iter	Logloss
0	0.6905114641
1	0.6880455593
2	0.68532994
3	0.6820595125
4	0.6793180801
5	0.6763227787
6	0.6737169849
7	0.6712218273
8	0.6684955527
9	0.6658173703
10	0.6632779142
11	0.6609784118
12	0.6579045462
13	0.6554919485
14	0.6526446149
15	0.6502344658
16	0.6475926768
17	0.6451289868
18	0.6427637255
19	0.6404714425
20	0.6383075475
21	0.635926972
22	0.6337104393
23	0.6312357693
24	0.6289684423
25	0.6267343484
26	0.6242369466
27	0.6218600611
28	0.6197947135
29	0.6175533054
30	0.6153546064
31	0.61261209
32	0.6100860195
33	0.608207337
34	0.6059591438
35	0.6039072387
36	0.6014468011
37	0.5992541173
38	0.5974544117
39	0.595419166
40	0.5934876822
41	0.5915513862
42	0.5895627339
43	0.5876567729
44	0.5855970617
45	0.5835661677
46	0.5815599725
47	0.5796952463
48	0.5778137657
49	0.5759524221
50	0.5740086968
51	0.5723865214
52	0.5705986516
53	0.5685454125
54	0.5668321067
55	0.5649049338
56	0.5631858168
57	0.5614132231
58	0.5593319767
59	0.5574369301
60	0.5558032617
61	0.5540600655
62	0.5523977005
63	0.5506591724
64	0.5489904414
65	0.5476303113
66	0.5458988312
67	0.5442564099
68	0.5425982933
69	0.5411443441
70	0.5390053622
71	0.5374595485
72	0.5355970379
73	0.533953807
74	0.5325044159
75	0.530975518
76	0.5295408437
77	0.5282645108
78	0.5267654615
79	0.5255724848
80	0.5241277978
81	0.5224737061
82	0.5209384751
83	0.5195843945
84	0.5181121788
85	0.5166776306
86	0.5152678727
87	0.5139620777
88	0.5125379293
89	0.5110676023
90	0.5094179156
91	0.5077996153
92	0.5062490686
93	0.5049534561
94	0.503449602
95	0.5021839963
96	0.5009163934
97	0.4997592489
98	0.4984758342
99	0.4971971538
100	0.4959309898
101	0.4947802454
102	0.4935145386
103	0.4922507801
104	0.4911370637
105	0.4898057444
106	0.4883672754
107	0.4871330882
108	0.4859115179
109	0.4847033701
110	0.483376875
111	0.4822368714
112	0.4810478919
113	0.4796645937
114	0.4784219613
115	0.4773017275
116	0.476286659
117	0.4751162598
118	0.4740011679
119	0.4727586383
120	0.471792307
121	0.4707681974
122	0.4698117535
123	0.4687218085
124	0.4678057496
125	0.4668288421
126	0.46565104
127	0.4645585037
128	0.463720023
129	0.4628178063
130	0.4618704909
131	0.4605139606
132	0.4594759816
133	0.4584440336
134	0.457504703
135	0.4564956752
136	0.4555116567
137	0.4543478889
138	0.4532619342
139	0.4524322017
140	0.4514489628
141	0.4506211355
142	0.4498217314
143	0.4488003968
144	0.4479055216
145	0.4471789059
146	0.4462097399
147	0.4452243565
148	0.4442727171
149	0.4434468761
150	0.4431738262
151	0.4421727536
152	0.4414542915
153	0.4407174454
154	0.4397746426
155	0.4389945216
156	0.4382804953
